ID,Part,Priority,Option,Market,Store,Price,Currency,HUF_Est,Status,Risk,Note,Source
CPU_01_PL,CPU,1,AMD Ryzen 9 9900X Box,Poland,Ceneo lead,1398.99,PLN,116214,Compare,Medium,Current Poland broad lead from the 2026-06-21 CPU refresh; exact seller should be rechecked before ordering,01_Market_Data/2026-06-21/CPU/2026-06-21_cpu_web_refresh.md
CPU_01_PL_AMZ,CPU,1,AMD Ryzen 9 9900X Box,Poland,Amazon.pl,1398.99,PLN,116214,Backup,Low,Safe seller but no longer cheaper than the fresh broad-market lead,01_Market_Data/2026-06-21/CPU/2026-06-21_cpu_web_refresh.md
CPU_01_HU,CPU,1,AMD Ryzen 9 9900X Box,Hungary,Arukereso floor,123050,HUF,123050,Pick,Low,Fresh local 9900X floor from the 2026-06-21 Arukereso capture,01_Market_Data/2026-06-21/CPU/2026-06-21_cpu_web_refresh.md
CPU_01_UA,CPU,1,AMD Ryzen 9 9900X Box,Ukraine,Hotline exact product,15549,UAH,104778,Watch,Medium,Strong Ukraine CPU lead from Hotline exact product page; store-level warranty comfort still matters,01_Market_Data/2026-06-21/CPU/2026-06-21_cpu_web_refresh.md
CPU_02_PL,CPU,2,AMD Ryzen 7 9700X Box,Poland,Ceneo lead,1024.2,PLN,85080,Compare,Medium,Straight Poland BOX comparison for CPU_02_HU from Ceneo capture 2026-06-16,01_Market_Data/2026-06-16/CPU/Ryzen 7 9700x - Komputery.md
CPU_02_HU,CPU,2,AMD Ryzen 7 9700X Box,Hungary,Arukereso lead,103490,HUF,103490,Backup,Low,Budget fallback if platform cost must drop,CPU_WORKING_SHORTLIST
CPU_03_PL,CPU,3,AMD Ryzen 9 9950X Box,Poland,Ceneo lead,1899,PLN,157750,Compare,Medium,Straight Poland BOX comparison; tray row is slightly cheaper but not same retail box route,01_Market_Data/2026-06-16/CPU/Ryzen 9 9950x - Komputery.md
CPU_03_HU,CPU,3,AMD Ryzen 9 9950X Box,Hungary,Konzolvilag,174090,HUF,174090,Watch,Medium,16-core productivity upgrade; not default value choice,Raw_Captures/CPU
MB_01_PL,Motherboard,1,MSI MAG B850 Tomahawk MAX WiFi,Poland,Amazon.pl,978.66,PLN,65870,Compare,Medium,Fresh exact Poland row visible on the Ceneo product page,01_Market_Data/2026-06-21/Motherboard/2026-06-21_motherboard_web_refresh.md
MB_01_HU,Motherboard,1,MSI MAG B850 Tomahawk MAX WiFi,Hungary,aqua.hu,82990,HUF,82990,Pick,Low,Fresh exact Hungary row from Arukereso product page,01_Market_Data/2026-06-21/Motherboard/2026-06-21_motherboard_web_refresh.md
MB_01_UA,Motherboard,1,MSI MAG B850 Tomahawk MAX WiFi,Ukraine,Hotline seller row SKU 911-7E62-002,12989,UAH,87527,Watch,Medium,Cleaner exact Ukraine row than the unlabeled 8553 capture; 36-month warranty is visible,01_Market_Data/2026-06-21/Motherboard/2026-06-21_hotline_msi_mag_b850_tomahawk_max_wifi_exact.md
MB_02_PL,Motherboard,2,ASRock X870 PRO RS WiFi,Poland,Amazon.pl,849.74,PLN,70588,Compare,Medium,Exact Ceneo product page capture with Amazon offer on 2026-06-16,01_Market_Data/2026-06-16/Motherboard/Płyta główna PC Asrock X870 Pro Rs Wifi (X870PRORSWIFI) - Opinie i ceny na Ceneo.pl.md
MB_02_HU,Motherboard,2,ASRock X870 PRO RS WiFi,Hungary,Arukereso lead,72290,HUF,72290,Backup,Medium,Strong value challenger if comfortable with ASRock,Raw_Captures/Motherboard
MB_03_HU,Motherboard,3,MSI MAG B850 Tomahawk WiFi non-MAX,Hungary,Arukereso lead,80860,HUF,80860,Watch,Medium,Fresh non-MAX Hungary broad row; still mainly a budget MSI fallback,02_PC_Builds/01_Price_Refresh/2026-06-21/motherboard_market_snapshot.csv
MB_04_PL,Motherboard,4,Gigabyte X870E AORUS Elite WiFi7,Poland,Ceneo lead,1079,PLN,89633,Compare,Medium,Closest Poland row is Gigabyte X870E A ELITE WIFI7; verify AORUS naming before buying,01_Market_Data/2026-06-16/Motherboard/Gigabyte x870e aorus elite wifi7 - Komputery.md
MB_04_HU,Motherboard,4,Gigabyte X870E AORUS Elite WiFi7,Hungary,Arukereso lead,108900,HUF,108900,Watch,Medium,Fresh Hungary broad row for the premium board class,02_PC_Builds/01_Price_Refresh/2026-06-21/motherboard_market_snapshot.csv
RAM_01_PL,RAM,1,Patriot Viper Venom 64GB 2x32 DDR5-6000 CL30,Poland,RTV EURO AGD,3209,PLN,243619,Pick,Medium,Fresh exact Poland row with correct CL30 SKU PVV564G600C30K,"01_Market_Data/2026-06-21/RAM/Pamięć RAM Patriot Viper Venom DDR5 64GB (2 x 32GB) 6000 CL30 Szary - Opinie, Cena - RTV EURO AGD.md"
RAM_01_HU,RAM,1,Patriot Viper Venom 64GB 2x32 DDR5-6000 CL30,Hungary,Arukereso lead,392890,HUF,392890,Compare,High,Fresh same-model Hungary broad row shows how expensive the Patriot route currently is locally,01_Market_Data/2026-06-21/RAM/Árak és termékek összehasonlítása online boltok teljes kínálatából.md
RAM_01_UA,RAM,1,Patriot Viper Venom 64GB 2x32 DDR5-6000 CL30,Ukraine,Hotline broad lead,43196,UAH,291078,Watch,Medium,Best clean Ukraine 64GB CL30 row from the current RAM refresh,02_PC_Builds/01_Price_Refresh/2026-06-21/ram_market_snapshot.csv
RAM_02_PL,RAM,2,Kingston Fury Beast EXPO 64GB 2x32 DDR5-6000 CL30,Poland,KR System,3635.5,PLN,302001,Backup,Medium,Safer RAM option from Poland but not as cheap as Patriot,Raw_Captures/RAM
RAM_02_HU,RAM,2,Kingston Fury Beast EXPO 64GB 2x32 DDR5-6000 CL30,Hungary,foramax.hu,339890,HUF,339890,Backup,Low,Safest RAM option; better warranty comfort,Raw_Captures/RAM
RAM_03_PL,RAM,3,GOODRAM IRDM 64GB 2x32 DDR5-6000 CL30,Poland,Allegro,3333,PLN,276872,Backup,Medium,Third practical 64GB option,Raw_Captures/RAM
RAM_03_HU,RAM,3,GOODRAM IRDM 64GB 2x32 DDR5-6000 CL30,Hungary,Arukereso lead,330580,HUF,330580,Backup,Medium,Fresh Hungary broad row; still not cheap enough to beat Poland meaningfully,02_PC_Builds/01_Price_Refresh/2026-06-21/ram_market_snapshot.csv
RAM_04_PL,RAM,4,Patriot Viper Venom 32GB 2x16 DDR5-6000 CL30,Poland,Ceneo lead,1599,PLN,132073,Watch,Medium,Fresh Poland budget-down row for the 32GB branch,02_PC_Builds/01_Price_Refresh/2026-06-21/ram_market_snapshot.csv
RAM_04_HU,RAM,4,Patriot Viper Venom 32GB 2x16 DDR5-6000 CL30,Hungary,Arukereso lead,149590,HUF,149590,Compare,Low,Same model local comparison from the current Arukereso capture,02_PC_Builds/01_Price_Refresh/2026-06-21/ram_market_snapshot.csv
RAM_04_UA,RAM,4,Patriot Viper Venom 32GB 2x16 DDR5-6000 CL30,Ukraine,Hotline broad lead,20172,UAH,135930,Watch,Medium,Strong Ukraine budget-down option from the current RAM refresh,02_PC_Builds/01_Price_Refresh/2026-06-21/ram_market_snapshot.csv
SSD_01_PL,SSD,1,Kingston KC3000 2TB,Poland,Ceneo lead,1119,PLN,78003,Pick,Medium,Fresh Poland SSD market floor now sits at 1119 PLN,01_Market_Data/2026-06-21/SSD/2026-06-21_ssd_web_refresh.md
SSD_01_HU,SSD,1,Kingston KC3000 2TB,Hungary,senetic.hu,114281,HUF,114281,Compare,Low,Fresh exact Hungary SSD leader from Arukereso product page,01_Market_Data/2026-06-21/SSD/2026-06-21_ssd_web_refresh.md
SSD_01_UA,SSD,1,Kingston KC3000 2TB,Ukraine,Hotline broad lead,14044,UAH,94636,Watch,Medium,Strong Ukraine SSD row with 60-month warranty seller rows visible,01_Market_Data/2026-06-21/SSD/2026-06-21_ssd_web_refresh.md
SSD_02_PL,SSD,2,Lexar NM790 2TB,Poland,Ceneo lead,1038.03,PLN,86229,Backup,Medium,Good SSD but KC3000 Poland is cleaner value,Raw_Captures/SSD
SSD_02_HU,SSD,2,Lexar NM790 2TB,Hungary,Arukereso lead,96695,HUF,96695,Backup,Low,Best Hungary SSD value; DRAM-less/HMB,Raw_Captures/SSD
SSD_03_PL,SSD,3,Samsung 990 PRO 2TB,Poland,Ceneo lead,1499,PLN,122030,Avoid,Medium,Fresh Poland premium SSD row; still meaningfully above KC3000,01_Market_Data/2026-06-21/SSD/2026-06-21_ssd_web_refresh.md
SSD_03_HU,SSD,3,Samsung 990 PRO 2TB,Hungary,Alza / Arukereso lead,119990,HUF,119990,Watch,Low,Premium SSD; only if close to KC3000 price,Raw_Captures/SSD
